ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;282;2019;1142;Feder, G.;10;Agricultural and Biological Sciences;23;Article;955;final;957;Journal Of Interpersonal Violence;160;Domestic Violence;1057;University of Bristol;20;National Institutes of Health;24;United States;445;Journal;1125;English;1094
Other;860;;;Hegarty, K.;7;Arts and Humanities;61;Review;109;aip;185;Trauma Violence And Abuse;37;Human;747;University of Melbourne;20;National Institute for Health Research;14;United Kingdom;159;Conference Proceeding;7;French;14
;;;;Douglas, H.;6;Biochemistry, Genetics and Molecular Biology;24;Note;23;;;Journal Of Family Violence;30;Female;599;Monash University;19;National Institute of Mental Health;13;Australia;131;Book;6;Spanish;13
;;;;Macy, R.J.;6;Business, Management and Accounting;14;Editorial;20;;;Journal Of Aggression Maltreatment And Trauma;25;Article;539;Griffith University;17;Eunice Kennedy Shriver National Institute of Child Health and Human Development;12;Canada;74;Book Series;3;Portuguese;12
;;;;Sullivan, C.M.;6;Computer Science;12;Conference Paper;10;;;International Journal Of Environmental Research And Public Health;20;Adult;468;The University of North Carolina at Chapel Hill;16;Economic and Social Research Council;10;Brazil;42;Trade Journal;1;German;7
;;;;Bradbury-Jones, C.;5;Decision Sciences;1;Book Chapter;6;;;Violence Against Women;20;Male;411;Johns Hopkins Bloomberg School of Public Health;15;National Science Foundation;10;India;36;;;Polish;4
;;;;Campbell, J.C.;5;Dentistry;3;Erratum;3;;;Psychology Of Violence;19;Humans;399;University of Toronto;15;U.S. Department of Health and Human Services;10;Sweden;27;;;Persian;3
;;;;Decker, M.R.;5;Earth and Planetary Sciences;2;Letter;3;;;Child Abuse And Neglect;18;Partner Violence;274;University of Michigan, Ann Arbor;15;Australian Research Council;9;Iran;21;;;Chinese;2
;;;;Howard, L.M.;5;Economics, Econometrics and Finance;18;Short Survey;3;;;Plos One;15;Intimate Partner Violence;270;Michigan State University;15;National Health and Medical Research Council;8;Germany;20;;;Russian;2
;;;;Howell, K.H.;5;Energy;1;Undefined;10;;;BMJ Open;10;Child;237;King's College London;13;U.S. Department of Justice;8;Italy;19;;;Afrikaans;1
;;;;Humphreys, C.;5;Engineering;5;;;;;Women S Studies International Forum;10;Psychology;224;The University of Texas at Austin;12;Wellcome Trust;8;Turkey;19;;;Bosnian;1
;;;;Bates, E.A.;4;Environmental Science;30;;;;;Violence And Victims;9;Major Clinical Study;197;Harvard Medical School;10;National Institute on Alcohol Abuse and Alcoholism;7;Spain;18;;;Italian;1
;;;;Brem, M.J.;4;Health Professions;37;;;;;Partner Abuse;8;Adolescent;184;The University of Sydney;10;Health Research;6;Norway;17;;;Japanese;1
