ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;87;2019;200;Abrahams, N.;3;Agricultural and Biological Sciences;1;Article;169;final;179;Violence Against Women;9;Violence Against Women;148;Universidade de Sao Paulo - USP;5;Department for International Development;5;United States;37;Journal;194;English;169
Other;113;;;Bosch-Fiol, E.;3;Arts and Humanities;23;Review;22;aip;21;Journal Of Interpersonal Violence;6;Human;77;Universidade Federal do Rio Grande do Sul;4;South African Medical Research Council;5;Brazil;28;Book Series;3;Spanish;20
;;;;Contreras-Urbina, M.;3;Biochemistry, Genetics and Molecular Biology;1;Book Chapter;5;;;Annales Anali Za Istrske In Mediteranske Studije Series Historia Et Sociologia;4;Female;74;Universitat de les Illes Balears;4;University of Ghana;3;Spain;22;Book;2;Portuguese;12
;;;;Murphy, M.;3;Business, Management and Accounting;5;Note;2;;;Anuario De Psicologia Juridica;3;Adult;57;Universidade Federal de Sao Carlos;4;Australiaâs National Research Organisation for Womenâs Safety;2;United Kingdom;17;Conference Proceeding;1;Bosnian;2
;;;;Vaughan, C.;3;Chemical Engineering;1;Conference Paper;1;;;BMC Public Health;3;Article;53;Pan American Health Organization;4;Center for Outcomes Research and Evaluation, Yale School of Medicine;2;Australia;14;;;French;2
;;;;Blackwell, A.;2;Computer Science;2;Editorial;1;;;Gender And Development;3;Humans;45;Universidade Federal de Santa Catarina;4;Conselho Nacional de Desenvolvimento CientÃ­fico e TecnolÃ³gico;2;Canada;11;;;German;2
;;;;Both, L.M.;2;Economics, Econometrics and Finance;4;;;;;International Journal Of Environmental Research And Public Health;3;Male;40;University of Melbourne;4;CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior;2;South Africa;11;;;Slovenian;1
;;;;Bott, S.;2;Engineering;5;;;;;Revista Estudos Feministas;3;Intimate Partner Violence;38;South African Medical Research Council;4;Department of Education and Training;2;India;8;;;;
;;;;Boyle, K.;2;Environmental Science;3;;;;;Texto E Contexto Enfermagem;3;Domestic Violence;36;University of Seville;4;Economic and Social Research Council;2;Turkey;8;;;;
;;;;Brush, L.D.;2;Health Professions;2;;;;;Women And Criminal Justice;3;Violence;36;University of Calgary;3;Inyuvesi Yakwazulu-Natali;2;Mexico;7;;;;
;;;;Cardoso, B.L.A.;2;Immunology and Microbiology;1;;;;;African Health Sciences;2;Partner Violence;31;University of Valencia;3;Pan American Health Organization;2;Colombia;6;;;;
;;;;Costa, N.;2;Materials Science;1;;;;;Asian Journal Of Women S Studies;2;Psychology;25;The George Washington University;3;United Nations Population Fund;2;Italy;5;;;;
;;;;Dim, E.E.;2;Medicine;70;;;;;BMC International Health And Human Rights;2;Gender;21;Universidade Federal do Maranhao;3;Universidad Nacional AutÃ³noma de MÃ©xico;2;Chile;4;;;;
;;;;Easteal, P.;2;Neuroscience;2;;;;;European Journal Of Criminology;2;Human Experiment;21;University of Ghana;3;World Health Organization;2;Germany;4;;;;
;;;;Ellsberg, M.;2;Nursing;12;;;;;Feminist Media Studies;2;Young Adult;20;Universidade Federal de Minas Gerais;3;Agencia Estatal de Investigación;1;Indonesia;4;;;;
;;;;Favaretto, T.C.;2;Physics and Astronomy;1;;;;;International Journal Of Women S Health;2;Adolescent;19;Universidad Nacional Autónoma de México;3;Alberta Heritage Foundation for Medical Research;1;Ethiopia;3;;;;
;;;;Ferrer-Pérez, V.A.;2;Psychology;35;;;;;Journal Of Aggression Maltreatment And Trauma;2;Sexual Violence;19;University of Cape Town;2;Arts and Humanities Research Council;1;Ghana;3;;;;
;;;;Freitas, L.H.M.;2;Social Sciences;119;;;;;Media Watch;2;Child;16;Università degli Studi di Padova;2;Australian Research Council;1;Kenya;3;;;;
;;;;Grzyb, M.;2;;;;;;;Nomadas;2;Controlled Study;16;Bar-Ilan University;2;Consejo Nacional de Ciencia y Tecnología;1;Peru;3;;;;
;;;;Guedes, A.;2;;;;;;;Revista Da Escola De Enfermagem;2;Major Clinical Study;16;London School of Economics and Political Science;2;Conselho Nacional de Desenvolvimento Científico e Tecnológico;1;Egypt;2;;;;
;;;;Harries, J.;2;;;;;;;Revista Panamericana De Salud Publica Pan American Journal Of Public Health;2;Prevalence;16;University of California, Irvine;2;Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;1;France;2;;;;
