ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
Open Access;16;2020;66;Van Ouytsel, J.;4;Arts and Humanities;11;Article;62;final;47;Archives Of Sexual Behavior;5;Sexting;65;Universiteit Antwerpen;5;Fonds Wetenschappelijk Onderzoek;2;United States;27;Journal;66;English;65
Other;50;;;Walrave, M.;4;Business, Management and Accounting;2;Letter;3;aip;19;New Media And Society;5;Human;37;Universiteit Gent;5;Hrvatska Zaklada za Znanost;2;Belgium;9;;;Spanish;1
;;;;Ponnet, K.;3;Computer Science;2;Review;1;;;JAMA Pediatrics;3;Article;31;Texas Tech University;4;Ministerio de Ciencia, InnovaciÃ³n y Universidades;2;United Kingdom;8;;;;
;;;;Akre, C.;2;Decision Sciences;1;;;;;Journal Of Children And Media;3;Female;30;University of Valencia;3;National Institutes of Health;2;Australia;7;;;;
;;;;Currin, J.M.;2;Environmental Science;2;;;;;Sexuality And Culture;3;Male;28;Interuniversity Micro-Electronics Center at Leuven;3;American Foundation for Suicide Prevention;1;Spain;6;;;;
;;;;De Wolf, R.;2;Immunology and Microbiology;1;;;;;Children And Youth Services Review;2;Adolescent;24;Alberta Children's Hospital;2;Canadian Institutes of Health Research;1;Canada;3;;;;
;;;;Hubach, R.D.;2;Medicine;21;;;;;Computers In Human Behavior;2;Adult;19;Université de Lausanne UNIL;2;Eusko Jaurlaritza;1;Croatia;3;;;;
;;;;Klettke, B.;2;Nursing;2;;;;;International Journal Of Environmental Research And Public Health;2;Human Experiment;19;University of Calgary;2;Fundamental Research Funds for the Central Universities;1;Italy;3;;;;
;;;;Madigan, S.;2;Psychology;23;;;;;Journal Of Youth Studies;2;Major Clinical Study;19;Universiteit van Amsterdam;2;H. Lundbeck A/S;1;Netherlands;3;;;;
;;;;Mori, C.;2;Social Sciences;33;;;;;Psychiatry Psychology And Law;2;Adolescents;16;University of Zagreb;2;Harvard T.H. Chan School of Public Health;1;China;2;;;;
;;;;Ravn, S.;2;;;;;;;Sexual Health;2;Child;13;John Jay College of Criminal Justice;2;Jazz Pharmaceuticals;1;Czech Republic;2;;;;
;;;;Roberts, S.;2;;;;;;;Sexuality Research And Social Policy;2;Prevalence;11;UT Medical Branch at Galveston;2;National Center for Responsible Gaming;1;Denmark;2;;;;
;;;;Temple, J.R.;2;;;;;;;American Journal Of Nursing;1;Adolescence;10;Florida Atlantic University;2;National Research Council of Science and Technology;1;Poland;2;;;;
;;;;Vandenbosch, L.;2;;;;;;;Anales De Psicologia;1;Controlled Study;10;Middle Tennessee State University;2;Nederlandse Organisatie voor Wetenschappelijk Onderzoek;1;Switzerland;2;;;;
;;;;Štulhofer, A.;2;;;;;;;BMC Psychology;1;Gender;8;Deakin University;2;Office of Justice Programs;1;Bosnia and Herzegovina;1;;;;
;;;;Amankwah, J.;1;;;;;;;Canadian Journal Of Psychiatry;1;Perception;8;Monash University;2;Office of Juvenile Justice and Delinquency Prevention;1;Brazil;1;;;;
;;;;Amundsen, R.;1;;;;;;;Comunicacion Y Sociedad Mexico;1;Sexual Behavior;8;Oklahoma State University - Center for Health Sciences;2;Ontario Ministry of Health and Long-Term Care;1;Bulgaria;1;;;;
;;;;Anderson, N.;1;;;;;;;Comunicar;1;Juvenile;7;KU Leuven;2;Pfizer;1;Ghana;1;;;;
;;;;Arias, V.S.;1;;;;;;;Cultural Sociology;1;Anxiety;6;University of Melbourne;2;Sapienza UniversitÃ  di Roma;1;Israel;1;;;;
;;;;Assini-Meytin, L.C.;1;;;;;;;Culture Health And Sexuality;1;Cross-sectional Study;6;The Amsterdam School of Communications Research - ASCoR;2;School of Public Health, University of Michigan;1;Malaysia;1;;;;
;;;;Auderset, D.;1;;;;;;;Current Opinion In Pediatrics;1;Depression;6;Michigan State University;2;Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung;1;Mexico;1;;;;
;;;;Ayinmoro, A.D.;1;;;;;;;Current Psychology;1;Social Media;6;Research Foundation - Flanders;2;State of Connecticut Department of Mental Health and Addiction Services;1;Nigeria;1;;;;
;;;;Baccarne, B.;1;;;;;;;Cyberpsychology;1;High School Student;5;Centre Universitaire de Médecine Générale et Santé Publique;2;U.S. Department of Justice;1;Portugal;1;;;;
;;;;Baiden, F.;1;;;;;;;Feminist Media Studies;1;Internet;5;Connecticut Council on Problem Gambling;1;University of Minnesota Duluth;1;Russian Federation;1;;;;
;;;;Baiocco, R.;1;;;;;;;Gender And Education;1;Priority Journal;5;Croatian Employment Service;1;Undefined;49;South Africa;1;;;;
;;;;Balakrishnan, V.;1;;;;;;;Human Communication Research;1;Sexuality;5;Oranim Academic College of Education;1;;;Turkey;1;;;;
;;;;Ballester-Arnal, R.;1;;;;;;;Integration Of Education;1;Young Adult;5;Center for Mental Health;1;;;Uganda;1;;;;
;;;;Baltieri, D.A.;1;;;;;;;International Journal Of Adolescent Medicine And Health;1;Adolescent Behavior;4;Ensign College of Public Health;1;;;Undefined;1;;;;
;;;;Barbosa, S.;1;;;;;;;Journal Of Adolescence;1;High Risk Behavior;4;Halesowen;1;;;;;;;;
;;;;Barrense-DIas, Y.;1;;;;;;;Journal Of Adolescent Health;1;Interview;4;Steven and Alexandra Cohen Children's Medical Center of New York;1;;;;;;;;
;;;;Barrense-Dias, Y.;1;;;;;;;Journal Of Child And Adolescent Trauma;1;Mental Health;4;Indiana University;1;;;;;;;;
;;;;Baćak, V.;1;;;;;;;Journal Of Gender Studies;1;Motivation;4;Indiana University;1;;;;;;;;
;;;;Berchtold, A.;1;;;;;;;Journal Of Human Growth And Development;1;Offender;4;USC Australia;1;;;;;;;;
;;;;Bergman, R.J.;1;;;;;;;Journal Of Psychology Interdisciplinary And Applied;1;Questionnaire;4;University of Hawaii;1;;;;;;;;
;;;;Bianchi, D.;1;;;;;;;Journal Of Religion And Health;1;Sex Difference;4;Center for Health Care St. Rok;1;;;;;;;;
;;;;Bogacheva, N.;1;;;;;;;Journal Of Sex Research;1;Young Adults;4;Oklahoma State University-Tulsa;1;;;;;;;;
;;;;Bonilla, S.;1;;;;;;;Journal Of Sexual Medicine;1;Youth;4;University of Johannesburg;1;;;;;;;;
;;;;Borroni, E.;1;;;;;;;Journal Of Taibah University Medical Sciences;1;Adulthood;3;University of Massachusetts Medical School;1;;;;;;;;
